CatalogID,Release,Type,Product,Domain,Resolution,Deprecated,MinDate,MaxDate,MinYear,MaxYear,TimeSeriesType,DataType,DataUnit,DataScaleFactor,DataOffset,Data.URL,Metadata.URL
R1D021,Release1,Topo,Digital Elevation Model,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_1m_v2_metadata.xml
R1D022,Release1,Topo,Hydro-corrected DEM (Cut and Burned),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_hydro_cutburn_1m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_hydro_cutburn_1m_v3_metadata.xml
R1D023,Release1,Topo,Hydro-corrected DEM (Cut),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_hydro_cut_1m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_hydro_cut_1m_v3_metadata.xml
R1D024,Release1,Topo,Leaf-off Digital Surface Model,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_leafoff_1m_v4.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_leafoff_1m_v4_metadata.xml
R1D025,Release1,Vegetation,Basic Landcover,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_landcover_1m_v4.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_landcover_1m_v4_metadata.xml
R1D026,Release1,Vegetation,Leaf-on Digital Surface Model,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_1m_v2_metadata.xml
R1D027,Release1,Vegetation,Vegetation Canopy Height,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_canopy_ht_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_canopy_ht_1m_v2_metadata.xml
R2D001,Release2,Planning,Summer Travel Time,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,numeric,minutes,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_access_minutes_summer_1m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_access_minutes_summer_1m_v3_metadata.xml
R2D002,Release2,Planning,Winter Travel Time,UER,1m,FALSE,1/1/19,1/1/19,2019,2019,Single,numeric,minutes,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_access_minutes_winter_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_access_minutes_winter_1m_v1_metadata.xml
R2D003,Release2,Radiation,Spring Bare-earth Solar Radiation,UER,3m,FALSE,4/20/18,4/20/18,2018,2018,Single,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day080_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day080_3m_v1_metadata.xml
R2D004,Release2,Radiation,Summer Bare-earth Solar Radiation,UER,3m,FALSE,6/21/18,6/21/18,2018,2018,Single,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day172_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day172_3m_v1_metadata.xml
R2D005,Release2,Radiation,Fall Bare-earth Solar Radiation,UER,3m,FALSE,9/23/18,9/23/18,2018,2018,Single,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day265_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day265_3m_v1_metadata.xml
R2D006,Release2,Radiation,Winter Bare-earth Solar Radiation,UER,3m,FALSE,12/21/18,12/21/18,2018,2018,Single,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day355_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day355_3m_v1_metadata.xml
R2D007,Release2,Radiation,Spring Subcanopy Solar Radiation,UER,3m,FALSE,4/20/18,4/20/18,2018,2018,Single,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day080_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day080_3m_v1_metadata.xml
R2D008,Release2,Radiation,Summer Subcanopy Solar Radiation,UER,3m,FALSE,6/21/18,6/21/18,2018,2018,Single,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day172_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day172_3m_v1_metadata.xml
R2D009,Release2,Radiation,Fall Subcanopy Solar Radiation,UER,3m,FALSE,9/23/18,9/23/18,2018,2018,Single,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day265_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day265_3m_v1_metadata.xml
R2D010,Release2,Radiation,Winter Subcanopy Solar Radiation,UER,3m,FALSE,12/21/18,12/21/18,2018,2018,Single,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day355_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day355_3m_v1_metadata.xml
R2D011,Release2,Snow,Snow Depth 2018,UER,3m,FALSE,3/18/18,3/18/18,2018,2018,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_snow_depth_20180331_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_snow_depth_20180331_3m_v1_metadata.xml
R2D012,Release2,Snow,Snow Depth 2019,UER,3m,FALSE,4/8/19,4/8/19,2019,2019,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_snow_depth_20190407_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_snow_depth_20190407_3m_v1_metadata.xml
R2D013,Release2,Vegetation,High-res Canopy Height,UER,0.333m,FALSE,9/12/19,9/12/19,2019,2019,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_canopy_ht_33cm_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_canopy_ht_33cm_v2_metadata.xml
R2D014,Release2,Vegetation,Lidar Vegetation Metrics,UER,3m,FALSE,9/12/19,9/12/19,2019,2019,Single,numeric,multiple,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_lidar_metrics_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_lidar_metrics_3m_v1_metadata.xml
R3D001,Release3,Hydro,Multiscale Topographic Wetness,UG,1m,FALSE,9/12/19,9/12/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_wet_index_multiscale_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_wet_index_multiscale_1m_v1_metadata.xml
R3D002,Release3,Imagery,October 2017 NAIP RGBN Orthomosaic,UG,1m,FALSE,10/17/17,10/17/17,2017,2017,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_rgbn_oct2017_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_rgbn_oct2017_1m_v1_metadata.xml
R3D003,Release3,Imagery,Septober 2019 NAIP RGBN Orthomosaic,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_rgbn_sept2019_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_rgbn_sept2019_1m_v1_metadata.xml
R3D004,Release3,Supplemental,UTM X Coordinate,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_coordinate_UTMX_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_coordinate_UTMX_1m_v1_metadata.xml
R3D005,Release3,Supplemental,UTM Y Coordinate,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_coordinate_UTMY_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_coordinate_UTMY_1m_v1_metadata.xml
R3D006,Release3,Supplemental,1m Data Mask,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_mask_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_mask_1m_v1_metadata.xml
R3D007,Release3,Supplemental,3m Data Mask,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_mask_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_mask_3m_v1_metadata.xml
R3D008,Release3,Topo,Bare-earth Digital Elevation Model,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_1m_v1_metadata.xml
R3D009,Release3,Topo,Bare-earth Digital Elevation Model,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_3m_v1_metadata.xml
R3D010,Release3,Topo,Topographic Aspect Southness Component,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,cos(radians),1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_aspect_southness_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_aspect_southness_1m_v1_metadata.xml
R3D011,Release3,Topo,Topographic Aspect Westness Component,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,cos(radians),1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_aspect_westness_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_aspect_westness_1m_v1_metadata.xml
R3D012,Release3,Topo,Topographic Slope Angle,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,degrees,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_slope_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_slope_1m_v1_metadata.xml
R3D013,Release3,Vegetation,Understory Cover,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,proportion,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_2mcover_3m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_2mcover_3m_v2_metadata.xml
R3D014,Release3,Vegetation,Vegetation Canopy Cover,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,proportion,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_cover_3m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_cover_3m_v3_metadata.xml
R3D015,Release3,Vegetation,Vegetation Canopy Height,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_height_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_height_1m_v2_metadata.xml
R3D016,Release3,Vegetation,20th Percentile Canopy Height,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_ht20_3m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_ht20_3m_v2_metadata.xml
R3D017,Release3,Vegetation,80th Percentile Canopy Height,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_ht80_3m_v4.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_ht80_3m_v4_metadata.xml
R3D018,Release3,Vegetation,Basic Landcover,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_landcover_1m_v4.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_landcover_1m_v4_metadata.xml
R3D019,Release3,Vegetation,October 2017 NAIP NDVI,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_ndvi_oct2017_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_ndvi_oct2017_1m_v1_metadata.xml
R3D020,Release3,Vegetation,Septober 2019 NAIP NDVI,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_ndvi_sept2019_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_ndvi_sept2019_1m_v2_metadata.xml
BM001,Basemaps,Hydro,"Gothic Townsite Drone Ortho, May 25th 2019",GT,5cm,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190525_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190525_v1_metadata.xml
BM002,Basemaps,Hydro,Hydrology Basemap,UG,2m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/UG_hydro_basemap_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/UG_hydro_basemap_v2_metadata.xml
BM003,Basemaps,Imagery,"Gothic Townsite Drone Ortho, June 17th 2019",GT,5cm,FALSE,6/17/19,6/17/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190617_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190617_v1_metadata.xml
BM004,Basemaps,Imagery,"Gothic Townsite Drone Ortho, July 22nd 2019",GT,5cm,FALSE,7/22/19,7/22/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190722_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190722_v1_metadata.xml
BM005,Basemaps,Imagery,"Gothic Townsite Drone Ortho, August 27th 2019",GT,5cm,FALSE,8/27/19,8/27/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190827_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190827_v1_metadata.xml
BM006,Basemaps,Imagery,"Gothic Townsite Drone Ortho, September 25th 2019",GT,5cm,FALSE,9/25/19,9/25/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190925_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20190925_v1_metadata.xml
BM007,Basemaps,Imagery,"Gothic Townsite Drone Ortho, November 15th 2019",GT,5cm,FALSE,11/15/19,11/15/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20191115_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/GT_ortho_basemap_20191115_v1_metadata.xml
BM008,Basemaps,Snow,2018 Snow Depth Basemap,UER,2m,FALSE,3/18/18,3/18/18,2018,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/UER_snowdepth_basemap_2018_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/UER_snowdepth_basemap_2018_v3_metadata.xml
BM009,Basemaps,Snow,2019 Snow Depth Basemap,UER,2m,FALSE,4/8/19,4/8/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/UER_snowdepth_basemap_2019_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/UER_snowdepth_basemap_2019_v3_metadata.xml
BM010,Basemaps,Topo,Topographic Aspect Basemap,UG,2m,FALSE,9/7/19,9/7/19,2019,2019,Single,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/UG_aspect_basemap_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/basemaps/UG_aspect_basemap_v1_metadata.xml
