CatalogID,Release,Type,Product,Domain,Resolution,Deprecated,MinDate,MaxDate,MinYear,MaxYear,TimeSeriesType,TimeSeriesRegularity,DataType,DataUnit,DataScaleFactor,DataOffset,Data.URL,Metadata.URL,ColorRampDefault
R1D016,Release1,Mask,27m Data Mask,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_mask_27m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_mask_27m_v1_metadata.xml,categorical
R1D017,Release1,Mask,81m Data Mask,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_mask_81m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_mask_81m_v1_metadata.xml,categorical
R1D018,Release1,Mask,9m Data Mask,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_mask_9m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_mask_9m_v1_metadata.xml,categorical
R1D019,Release1,Topo,Boundary Filled DEM,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_filled_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_filled_1m_v2_metadata.xml,continuous
R1D020,Release1,Topo,DEM with Buildings,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_buildings_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_buildings_1m_v2_metadata.xml,continuous
R1D021,Release1,Topo,Digital Elevation Model,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_1m_v2_metadata.xml,continuous
R1D022,Release1,Topo,Hydro-corrected DEM (Cut and Burned),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_hydro_cutburn_1m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_hydro_cutburn_1m_v3_metadata.xml,continuous
R1D023,Release1,Topo,Hydro-corrected DEM (Cut),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_hydro_cut_1m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dem_hydro_cut_1m_v3_metadata.xml,continuous
R1D024,Release1,Topo,Leaf-off Digital Surface Model,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_leafoff_1m_v4.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_leafoff_1m_v4_metadata.xml,continuous
R1D025,Release1,Vegetation,Basic Landcover,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_landcover_1m_v4.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_landcover_1m_v4_metadata.xml,categorical
